"VarName";"TimeString";"VarValue";"Validity";"Time_ms"
"DATA LOGGER_VALUE{5}";"04/06/2024 19:50:13";582;1;45447826543,9236
"variables supervision_ANGLE VENT";"04/06/2024 19:50:13";230;1;45447826543,9236
"variables supervision_VITESSE VENT";"04/06/2024 19:50:13";53;1;45447826543,9236
"DATA_METEO_Static_1{16}";"04/06/2024 19:50:13";201;1;45447826543,9236
"variables supervision_IRRADIATION";"04/06/2024 19:51:13";0;1;45447827239,1435
"DATA LOGGER_VALUE{0}";"04/06/2024 19:51:13";237;1;45447827239,1435
"DATA LOGGER_VALUE{1}";"04/06/2024 19:51:13";271;1;45447827239,1435
"DATA LOGGER_VALUE{5}";"04/06/2024 19:51:13";589;1;45447827239,1435
"variables supervision_ANGLE VENT";"04/06/2024 19:51:13";240;1;45447827239,1435
"variables supervision_VITESSE VENT";"04/06/2024 19:51:13";31;1;45447827239,1435
"DATA_METEO_Static_1{16}";"04/06/2024 19:51:13";188;1;45447827239,1435
"variables supervision_IRRADIATION";"04/06/2024 19:52:13";0;1;45447827933,1019
"DATA LOGGER_VALUE{0}";"04/06/2024 19:52:13";237;1;45447827933,1019
"DATA LOGGER_VALUE{1}";"04/06/2024 19:52:13";271;1;45447827933,1019
"DATA LOGGER_VALUE{5}";"04/06/2024 19:52:13";589;1;45447827933,1019
"variables supervision_ANGLE VENT";"04/06/2024 19:52:13";240;1;45447827933,1019
"variables supervision_VITESSE VENT";"04/06/2024 19:52:13";31;1;45447827933,1019
"DATA_METEO_Static_1{16}";"04/06/2024 19:52:13";188;1;45447827933,1019
"variables supervision_IRRADIATION";"04/06/2024 19:53:13";0;1;45447828627,2338
"DATA LOGGER_VALUE{0}";"04/06/2024 19:53:13";237;1;45447828627,2338
"DATA LOGGER_VALUE{1}";"04/06/2024 19:53:13";269;1;45447828627,2338
"DATA LOGGER_VALUE{5}";"04/06/2024 19:53:13";588;1;45447828627,2338
"variables supervision_ANGLE VENT";"04/06/2024 19:53:13";234;1;45447828627,2338
"variables supervision_VITESSE VENT";"04/06/2024 19:53:13";37;1;45447828627,2338
"DATA_METEO_Static_1{16}";"04/06/2024 19:53:13";182;1;45447828627,2338
"variables supervision_IRRADIATION";"04/06/2024 19:54:13";0;1;45447829322,2917
"DATA LOGGER_VALUE{0}";"04/06/2024 19:54:13";237;1;45447829322,2917
"DATA LOGGER_VALUE{1}";"04/06/2024 19:54:13";269;1;45447829322,2917
"DATA LOGGER_VALUE{5}";"04/06/2024 19:54:13";587;1;45447829322,2917
"variables supervision_ANGLE VENT";"04/06/2024 19:54:13";233;1;45447829322,2917
"variables supervision_VITESSE VENT";"04/06/2024 19:54:13";52;1;45447829322,2917
"DATA_METEO_Static_1{16}";"04/06/2024 19:54:13";181;1;45447829322,2917
"variables supervision_IRRADIATION";"04/06/2024 19:55:13";0;1;45447830016,2731
"DATA LOGGER_VALUE{0}";"04/06/2024 19:55:13";234;1;45447830016,2731
"DATA LOGGER_VALUE{1}";"04/06/2024 19:55:13";266;1;45447830016,2731
"DATA LOGGER_VALUE{5}";"04/06/2024 19:55:13";596;1;45447830016,2731
"variables supervision_ANGLE VENT";"04/06/2024 19:55:13";248;1;45447830016,2731
"variables supervision_VITESSE VENT";"04/06/2024 19:55:13";62;1;45447830016,2731
"DATA_METEO_Static_1{16}";"04/06/2024 19:55:13";181;1;45447830016,2731
"variables supervision_IRRADIATION";"04/06/2024 19:56:13";0;1;45447830711,3194
"DATA LOGGER_VALUE{0}";"04/06/2024 19:56:13";234;1;45447830711,3194
"DATA LOGGER_VALUE{1}";"04/06/2024 19:56:13";266;1;45447830711,3194
"DATA LOGGER_VALUE{5}";"04/06/2024 19:56:13";596;1;45447830711,3194
"variables supervision_ANGLE VENT";"04/06/2024 19:56:13";248;1;45447830711,3194
